# Cumulative H-alpha spectrum from 19 timesteps
# Total events: 36
# Velocity[m/s]  Wavelength[nm]  Counts  Intensity
-2.288500e+06  651.270340  0.0  0.000000e+00
-2.265500e+06  651.320690  0.0  0.000000e+00
-2.242500e+06  651.371030  0.0  0.000000e+00
-2.219500e+06  651.421380  0.0  0.000000e+00
-2.196500e+06  651.471730  0.0  0.000000e+00
-2.173500e+06  651.522080  0.0  0.000000e+00
-2.150500e+06  651.572430  0.0  0.000000e+00
-2.127500e+06  651.622780  0.0  0.000000e+00
-2.104500e+06  651.673120  0.0  0.000000e+00
-2.081500e+06  651.723470  0.0  0.000000e+00
-2.058500e+06  651.773820  0.0  0.000000e+00
-2.035500e+06  651.824170  0.0  0.000000e+00
-2.012500e+06  651.874520  0.0  0.000000e+00
-1.989500e+06  651.924870  0.0  0.000000e+00
-1.966500e+06  651.975210  0.0  0.000000e+00
-1.943500e+06  652.025560  0.0  0.000000e+00
-1.920500e+06  652.075910  0.0  0.000000e+00
-1.897500e+06  652.126260  0.0  0.000000e+00
-1.874500e+06  652.176610  0.0  0.000000e+00
-1.851500e+06  652.226960  0.0  0.000000e+00
-1.828500e+06  652.277300  0.0  0.000000e+00
-1.805500e+06  652.327650  0.0  0.000000e+00
-1.782500e+06  652.378000  0.0  0.000000e+00
-1.759500e+06  652.428350  0.0  0.000000e+00
-1.736500e+06  652.478700  0.0  0.000000e+00
-1.713500e+06  652.529050  0.0  0.000000e+00
-1.690500e+06  652.579400  0.0  0.000000e+00
-1.667500e+06  652.629740  0.0  0.000000e+00
-1.644500e+06  652.680090  0.0  0.000000e+00
-1.621500e+06  652.730440  0.0  0.000000e+00
-1.598500e+06  652.780790  0.0  0.000000e+00
-1.575500e+06  652.831140  0.0  0.000000e+00
-1.552500e+06  652.881490  0.0  0.000000e+00
-1.529500e+06  652.931830  0.0  0.000000e+00
-1.506500e+06  652.982180  0.0  0.000000e+00
-1.483500e+06  653.032530  0.0  0.000000e+00
-1.460500e+06  653.082880  0.0  0.000000e+00
-1.437500e+06  653.133230  0.0  0.000000e+00
-1.414500e+06  653.183580  0.0  0.000000e+00
-1.391500e+06  653.233920  0.0  0.000000e+00
-1.368500e+06  653.284270  0.0  0.000000e+00
-1.345500e+06  653.334620  0.0  0.000000e+00
-1.322500e+06  653.384970  0.0  0.000000e+00
-1.299500e+06  653.435320  0.0  0.000000e+00
-1.276500e+06  653.485670  0.0  0.000000e+00
-1.253500e+06  653.536010  0.0  0.000000e+00
-1.230500e+06  653.586360  0.0  0.000000e+00
-1.207500e+06  653.636710  0.0  0.000000e+00
-1.184500e+06  653.687060  0.0  0.000000e+00
-1.161500e+06  653.737410  0.0  0.000000e+00
-1.138500e+06  653.787760  0.0  0.000000e+00
-1.115500e+06  653.838100  0.0  0.000000e+00
-1.092500e+06  653.888450  0.0  0.000000e+00
-1.069500e+06  653.938800  0.0  0.000000e+00
-1.046500e+06  653.989150  0.0  0.000000e+00
-1.023500e+06  654.039500  0.0  0.000000e+00
-1.000500e+06  654.089850  0.0  0.000000e+00
-9.775000e+05  654.140190  0.0  0.000000e+00
-9.545000e+05  654.190540  0.0  0.000000e+00
-9.315000e+05  654.240890  0.0  0.000000e+00
-9.085000e+05  654.291240  0.0  0.000000e+00
-8.855000e+05  654.341590  0.0  0.000000e+00
-8.625000e+05  654.391940  0.0  0.000000e+00
-8.395000e+05  654.442280  0.0  0.000000e+00
-8.165000e+05  654.492630  0.0  0.000000e+00
-7.935000e+05  654.542980  0.0  0.000000e+00
-7.705000e+05  654.593330  0.0  0.000000e+00
-7.475000e+05  654.643680  0.0  0.000000e+00
-7.245000e+05  654.694030  0.0  0.000000e+00
-7.015000e+05  654.744370  0.0  0.000000e+00
-6.785000e+05  654.794720  0.0  0.000000e+00
-6.555000e+05  654.845070  0.0  0.000000e+00
-6.325000e+05  654.895420  0.0  0.000000e+00
-6.095000e+05  654.945770  0.0  0.000000e+00
-5.865000e+05  654.996120  0.0  0.000000e+00
-5.635000e+05  655.046470  0.0  0.000000e+00
-5.405000e+05  655.096810  1.0  2.777778e-02
-5.175000e+05  655.147160  0.0  0.000000e+00
-4.945000e+05  655.197510  0.0  0.000000e+00
-4.715000e+05  655.247860  0.0  0.000000e+00
-4.485000e+05  655.298210  0.0  0.000000e+00
-4.255000e+05  655.348560  1.0  2.777778e-02
-4.025000e+05  655.398900  0.0  0.000000e+00
-3.795000e+05  655.449250  2.0  5.555556e-02
-3.565000e+05  655.499600  0.0  0.000000e+00
-3.335000e+05  655.549950  0.0  0.000000e+00
-3.105000e+05  655.600300  0.0  0.000000e+00
-2.875000e+05  655.650650  0.0  0.000000e+00
-2.645000e+05  655.700990  0.0  0.000000e+00
-2.415000e+05  655.751340  0.0  0.000000e+00
-2.185000e+05  655.801690  1.0  2.777778e-02
-1.955000e+05  655.852040  0.0  0.000000e+00
-1.725000e+05  655.902390  0.0  0.000000e+00
-1.495000e+05  655.952740  2.0  5.555556e-02
-1.265000e+05  656.003080  1.0  2.777778e-02
-1.035000e+05  656.053430  1.0  2.777778e-02
-8.050000e+04  656.103780  1.0  2.777778e-02
-5.750000e+04  656.154130  3.0  8.333333e-02
-3.450000e+04  656.204480  4.0  1.111111e-01
-1.150000e+04  656.254830  3.0  8.333333e-02
1.150000e+04  656.305170  2.0  5.555556e-02
3.450000e+04  656.355520  3.0  8.333333e-02
5.750000e+04  656.405870  0.0  0.000000e+00
8.050000e+04  656.456220  1.0  2.777778e-02
1.035000e+05  656.506570  0.0  0.000000e+00
1.265000e+05  656.556920  1.0  2.777778e-02
1.495000e+05  656.607260  0.0  0.000000e+00
1.725000e+05  656.657610  1.0  2.777778e-02
1.955000e+05  656.707960  3.0  8.333333e-02
2.185000e+05  656.758310  0.0  0.000000e+00
2.415000e+05  656.808660  0.0  0.000000e+00
2.645000e+05  656.859010  0.0  0.000000e+00
2.875000e+05  656.909350  2.0  5.555556e-02
3.105000e+05  656.959700  0.0  0.000000e+00
3.335000e+05  657.010050  1.0  2.777778e-02
3.565000e+05  657.060400  0.0  0.000000e+00
3.795000e+05  657.110750  0.0  0.000000e+00
4.025000e+05  657.161100  0.0  0.000000e+00
4.255000e+05  657.211440  0.0  0.000000e+00
4.485000e+05  657.261790  0.0  0.000000e+00
4.715000e+05  657.312140  0.0  0.000000e+00
4.945000e+05  657.362490  0.0  0.000000e+00
5.175000e+05  657.412840  0.0  0.000000e+00
5.405000e+05  657.463190  0.0  0.000000e+00
5.635000e+05  657.513530  2.0  5.555556e-02
5.865000e+05  657.563880  0.0  0.000000e+00
6.095000e+05  657.614230  0.0  0.000000e+00
6.325000e+05  657.664580  0.0  0.000000e+00
6.555000e+05  657.714930  0.0  0.000000e+00
6.785000e+05  657.765280  0.0  0.000000e+00
7.015000e+05  657.815630  0.0  0.000000e+00
7.245000e+05  657.865970  0.0  0.000000e+00
7.475000e+05  657.916320  0.0  0.000000e+00
7.705000e+05  657.966670  0.0  0.000000e+00
7.935000e+05  658.017020  0.0  0.000000e+00
8.165000e+05  658.067370  0.0  0.000000e+00
8.395000e+05  658.117720  0.0  0.000000e+00
8.625000e+05  658.168060  0.0  0.000000e+00
8.855000e+05  658.218410  0.0  0.000000e+00
9.085000e+05  658.268760  0.0  0.000000e+00
9.315000e+05  658.319110  0.0  0.000000e+00
9.545000e+05  658.369460  0.0  0.000000e+00
9.775000e+05  658.419810  0.0  0.000000e+00
