# SEE Materials Database for Glow Discharge Simulation
# Format: Name  δ_max  E_max  E_th  s    γ_max  Ion_E_th  α    β    Charge_Factor  W_func  P1  P2  E1  E2  σ
#         Electron SEE (Vaughan)     Ion SEE (Hagstrum)    Common
#         δ_max  E_max  E_th  s     γ_max  Ion_E_th  α    β    Charge_Factor  W_func  P1  P2  E1  E2  σ

# Metal cathodes for glow discharge
Copper        1.3    600   30   1.35  0.3    150      0.8  40   1.0   4.7   0.5  3.5  80  300  0.3
Aluminum      1.2    500   25   1.35  0.25   120      0.7  35   1.0   4.3   0.55 3.8  70  250  0.35
Steel         1.1    550   28   1.35  0.2    180      0.6  50   1.0   4.5   0.52 3.6  75  280  0.32
Tungsten      1.4    700   35   1.35  0.4    200      0.9  60   1.0   4.5   0.45 3.2  90  350  0.25
Nickel        1.0    520   26   1.35  0.15   140      0.65 45   1.0   4.8   0.58 3.9  72  260  0.38

# Glass materials (for walls)
QuartzGlass   3.8    350   18   1.35  0.1    100      0.5  30   1.0   4.5   0.45 3.2  90  350  0.25
BoroGlass     3.2    300   15   1.35  0.08   80       0.4  25   1.0   4.2   0.5  3.5  80  300  0.3
SodaGlass     2.8    250   12   1.35  0.06   70       0.35 20   1.0   4.0   0.55 3.8  70  250  0.35 
