# LXCat-format cross section (two columns)
# Process: e + H2 -> e + H(1s) + H(n=3)   (Hα proxy via H(n=3)->Hα)
# Units: Energy [eV], Cross section [m^2]
# Threshold Eth = 19.0 eV (sigma=0 below Eth)
# Fit model (Eth..1 keV): ln(sigma) = sum_{i=0..8} a_i * (ln(E))^i
# Extrapolation (1 keV..100 keV): sigma(E) = sigma(1 keV) * (1 keV / E)  (1/E decay)
# Columns: E_eV    sigma_m2
--------------------------------------------------
 0.00000000e+00   0.00000000e+00
 1.00000000e+00   0.00000000e+00
 2.00000000e+00   0.00000000e+00
 5.00000000e+00   0.00000000e+00
 1.00000000e+01   0.00000000e+00
 1.50000000e+01   0.00000000e+00
 1.80000000e+01   0.00000000e+00
 1.90000000e+01   0.00000000e+00
 1.92929811e+01   1.56695316e-19
 1.95904801e+01   1.80960142e-19
 1.98925665e+01   2.07328248e-19
 2.01993110e+01   2.35746816e-19
 2.05107856e+01   2.66135038e-19
 2.08270632e+01   2.98385869e-19
 2.11482178e+01   3.32368429e-19
 2.14743246e+01   3.67930944e-19
 2.18054600e+01   4.04904102e-19
 2.21417015e+01   4.43104664e-19
 2.24831278e+01   4.82339228e-19
 2.28298190e+01   5.22407980e-19
 2.31818562e+01   5.63108358e-19
 2.35393218e+01   6.04238500e-19
 2.39022996e+01   6.45600411e-19
 2.42708745e+01   6.87002800e-19
 2.46451329e+01   7.28263514e-19
 2.50251623e+01   7.69211586e-19
 2.54110518e+01   8.09688856e-19
 2.58028918e+01   8.49551197e-19
 2.62007739e+01   8.88669338e-19
 2.66047914e+01   9.26929347e-19
 2.70150389e+01   9.64232770e-19
 2.74316125e+01   1.00049649e-18
 2.78546096e+01   1.03565234e-18
 2.82841294e+01   1.06964651e-18
 2.87202723e+01   1.10243875e-18
 2.91631407e+01   1.13400155e-18
 2.96128381e+01   1.16431908e-18
 3.00694698e+01   1.19338618e-18
 3.05331429e+01   1.22120730e-18
 3.10039658e+01   1.24779537e-18
