# Cumulative H-alpha spectrum from 84 timesteps
# Total events: 419
# Velocity[m/s]  Wavelength[nm]  Counts  Intensity
-4.975000e+04  656.171090  4.0  9.546539e-03
-4.925000e+04  656.172190  3.0  7.159905e-03
-4.875000e+04  656.173280  2.0  4.773270e-03
-4.825000e+04  656.174380  4.0  9.546539e-03
-4.775000e+04  656.175470  5.0  1.193317e-02
-4.725000e+04  656.176570  2.0  4.773270e-03
-4.675000e+04  656.177660  2.0  4.773270e-03
-4.625000e+04  656.178760  0.0  0.000000e+00
-4.575000e+04  656.179850  3.0  7.159905e-03
-4.525000e+04  656.180950  1.0  2.386635e-03
-4.475000e+04  656.182040  3.0  7.159905e-03
-4.425000e+04  656.183130  2.0  4.773270e-03
-4.375000e+04  656.184230  1.0  2.386635e-03
-4.325000e+04  656.185320  1.0  2.386635e-03
-4.275000e+04  656.186420  1.0  2.386635e-03
-4.225000e+04  656.187510  1.0  2.386635e-03
-4.175000e+04  656.188610  0.0  0.000000e+00
-4.125000e+04  656.189700  5.0  1.193317e-02
-4.075000e+04  656.190800  1.0  2.386635e-03
-4.025000e+04  656.191890  3.0  7.159905e-03
-3.975000e+04  656.192980  2.0  4.773270e-03
-3.925000e+04  656.194080  2.0  4.773270e-03
-3.875000e+04  656.195170  3.0  7.159905e-03
-3.825000e+04  656.196270  4.0  9.546539e-03
-3.775000e+04  656.197360  3.0  7.159905e-03
-3.725000e+04  656.198460  1.0  2.386635e-03
-3.675000e+04  656.199550  3.0  7.159905e-03
-3.625000e+04  656.200650  1.0  2.386635e-03
-3.575000e+04  656.201740  1.0  2.386635e-03
-3.525000e+04  656.202840  2.0  4.773270e-03
-3.475000e+04  656.203930  5.0  1.193317e-02
-3.425000e+04  656.205020  2.0  4.773270e-03
-3.375000e+04  656.206120  0.0  0.000000e+00
-3.325000e+04  656.207210  2.0  4.773270e-03
-3.275000e+04  656.208310  3.0  7.159905e-03
-3.225000e+04  656.209400  1.0  2.386635e-03
-3.175000e+04  656.210500  1.0  2.386635e-03
