# SEE Materials Database for Glow Discharge Simulation
# Format: Name  δ_max  E_max  E_th  s    γ_max  Ion_E_th  α    β    Charge_Factor  W_func  P1  P2  E1  E2  σ    γ_neutral_max  Neutral_E_th  Neutral_α  Neutral_β
#         Electron SEE (Vaughan)     Ion SEE (Hagstrum)    Common                        Neutral Atom SEE
#         δ_max  E_max  E_th  s     γ_max  Ion_E_th  α    β    Charge_Factor  W_func  P1  P2  E1  E2  σ    γ_neutral  N_E_th  N_α  N_β

# Metal cathodes for glow discharge
Copper        1.3    600   30   1.35  0.3    150      0.8  40   1.0   4.7   0.5  3.5  80  300  0.3   0.03   100   0.8  40
Aluminum      1.2    500   25   1.35  0.25   120      0.7  35   1.0   4.3   0.55 3.8  70  250  0.35  0.025  90    0.7  35
Steel         1.1    550   28   1.35  0.2    180      0.6  50   1.0   4.5   0.52 3.6  75  280  0.32  0.02   120   0.6  50
Tungsten      1.4    700   35   1.35  0.4    200      0.9  60   1.0   4.5   0.45 3.2  90  350  0.25  0.04   150   0.9  60
Nickel        1.0    520   26   1.35  0.15   140      0.65 45   1.0   4.8   0.58 3.9  72  260  0.38  0.015  110   0.65 45
SUS304        1.25   550   30   1.35  0.22   180      0.6  50   1.0   4.7   0.52 3.6  75  280  0.32  0.02   120   0.6  50

# Glass materials (for walls)
QuartzGlass   3.8    350   18   1.35  0.1    100      0.5  30   1.0   4.5   0.45 3.2  90  350  0.25  0.01   80    0.5  30
BoroGlass     3.2    300   15   1.35  0.08   80       0.4  25   1.0   4.2   0.5  3.5  80  300  0.3   0.008  70    0.4  25
SodaGlass     2.8    250   12   1.35  0.06   70       0.35 20   1.0   4.0   0.55 3.8  70  250  0.35  0.006  60    0.35 20
Duran         3.1    310   16   1.35  0.09   80       0.4  25   1.0   4.4   0.5  3.5  80  300  0.3   0.008  70    0.4  25 
